PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Prince Ali,FUE,8.0,228.0,8.0,106.0,12.0,35.0,34.3,25.0,42.0,59.5,20.0,27.0,74.1,16.0,8.0,24.0,6.0,8.0,15.0,5.0,4.0,5.0,9.0,19.0,-114.0,93.0
Clevin Hannah,FUE,17.0,292.39,6.0,113.0,20.0,63.0,31.7,20.0,43.0,46.5,13.0,16.0,81.3,10.0,5.0,15.0,41.0,8.0,25.0,1.0,3.0,0.0,35.0,23.0,-130.0,69.0
Bassala Bagayoko,FUE,7.0,121.49,2.0,43.0,1.0,7.0,14.3,18.0,27.0,66.7,4.0,5.0,80.0,20.0,12.0,32.0,5.0,9.0,7.0,3.0,3.0,9.0,15.0,8.0,-14.0,59.0
Keanu Pinder,FUE,2.0,53.33,2.0,37.0,3.0,3.0,100.0,9.0,20.0,45.0,10.0,13.0,76.9,11.0,5.0,16.0,1.0,2.0,4.0,4.0,1.0,1.0,9.0,12.0,-22.0,44.0
Jordan Caroline,FUE,6.0,145.15,4.0,52.0,4.0,19.0,21.1,14.0,32.0,43.8,12.0,20.0,60.0,20.0,14.0,34.0,3.0,0.0,14.0,0.0,5.0,1.0,9.0,14.0,-94.0,34.0
Ken Horton,FUE,3.0,94.19,3.0,35.0,5.0,16.0,31.3,9.0,14.0,64.3,2.0,4.0,50.0,7.0,4.0,11.0,4.0,4.0,5.0,1.0,1.0,0.0,5.0,4.0,-26.0,30.0
Malique Lewis,FUE,8.0,68.59,1.0,18.0,0.0,5.0,0.0,9.0,12.0,75.0,0.0,0.0,0.0,9.0,4.0,13.0,3.0,3.0,5.0,1.0,0.0,0.0,9.0,2.0,-33.0,18.0
Mehdy Ngouama,FUE,4.0,68.35,1.0,27.0,2.0,10.0,20.0,9.0,21.0,42.9,3.0,4.0,75.0,6.0,1.0,7.0,9.0,3.0,7.0,0.0,5.0,1.0,9.0,6.0,-30.0,10.0
Pavel Savkov,FUE,11.0,51.4,0.0,13.0,2.0,9.0,22.2,2.0,4.0,50.0,3.0,4.0,75.0,4.0,0.0,4.0,2.0,3.0,3.0,0.0,0.0,0.0,6.0,4.0,-9.0,7.0
Javi Beirán,FUE,4.0,35.48,0.0,5.0,1.0,4.0,25.0,1.0,2.0,50.0,0.0,0.0,0.0,4.0,3.0,7.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,-17.0,6.0
