PLAYER,TEAM,GM,MIN,5i,PTS,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,DREB,OREB,TREB,AS,ST,TO,BL,BA,DU,FR,FA,+/-,VAL
Pavel Savkov,FUE,11.0,4.41,0.0,1.2,0.2,0.8,22.2,0.2,0.4,50.0,0.3,0.4,75.0,0.4,0.0,0.4,0.2,0.3,0.3,0.0,0.0,0.0,0.5,0.4,0.0,0.6
Rodijs Macoha,FUE,17.0,9.27,0.1,1.7,0.1,0.8,7.7,0.6,1.2,52.4,0.2,0.4,66.7,0.8,0.5,1.3,0.2,0.5,0.6,0.1,0.1,0.0,1.9,0.4,-4.0,0.2
Adama  Traore,FUE,1.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Osas Ehigiator,FUE,4.0,4.3,0.0,1.0,0.0,0.0,0.0,0.5,1.3,40.0,0.0,0.5,0.0,0.0,0.0,0.0,0.3,0.3,0.8,0.0,0.0,0.3,1.3,0.3,-4.0,-1.5
Matija Samar,FUE,8.0,3.3,0.1,1.0,0.3,0.6,40.0,0.1,0.6,20.0,0.0,0.1,0.0,0.3,0.1,0.4,0.3,0.0,0.4,0.0,0.0,0.0,1.1,0.3,-1.0,-0.6
Howard Sant-Roos,CAZ,23.0,26.43,0.8,9.7,1.1,3.7,31.0,2.0,4.2,47.4,2.3,3.2,74.0,3.0,0.4,3.4,4.2,1.5,1.9,0.2,0.1,0.3,1.8,3.3,-2.0,13.0
Tryggvi Hlinason,CAZ,22.0,19.02,0.7,7.0,0.0,0.0,0.0,2.9,3.6,79.7,1.3,2.4,52.8,3.0,2.1,5.1,0.9,0.4,1.4,2.0,0.0,1.6,2.8,2.5,0.0,11.7
Christian Mekowulu,CAZ,17.0,20.5,0.6,9.5,0.1,0.3,40.0,3.1,6.0,51.0,3.1,4.5,67.5,3.5,2.4,5.9,0.8,0.5,1.8,0.8,0.4,0.5,2.6,3.3,0.0,11.5
Justinian Jessup,CAZ,22.0,26.46,0.5,12.7,2.1,5.6,37.4,2.7,5.3,50.9,1.0,1.4,76.7,2.5,0.7,3.2,1.3,1.0,1.0,0.1,0.3,0.0,1.4,1.1,-1.0,10.3
Santi Yusta,CAZ,23.0,23.09,0.5,11.2,0.7,3.7,20.2,3.0,5.5,53.5,3.0,4.0,76.1,2.6,0.8,3.4,1.5,1.4,2.2,0.1,0.3,0.3,2.6,4.0,0.0,10.1
Iván Cruz,CAZ,7.0,21.51,0.9,7.7,0.6,2.3,25.0,2.6,4.4,58.1,0.9,1.4,60.0,3.3,1.1,4.4,1.0,0.7,1.3,0.1,0.1,0.0,1.1,1.4,-3.0,8.7
Stefan Jovic,CAZ,10.0,24.52,0.5,8.2,1.0,2.9,34.5,2.4,4.2,57.1,0.4,1.0,40.0,2.5,0.2,2.7,3.5,1.3,1.6,0.3,0.3,0.1,2.1,1.2,2.0,8.9
